Species,Predator,IUCN_Red_List_status,Accused_by_IUCN_Red_List,Reference,Reference_ID,Cat_EPBC_threat_rating,Fox_EPBC_threat_rating_if_no_cat,Threat_rating_standardized,Latitude,Longitude,evidence_cat,evidence_fine_scale,direction,Is_there_predator_population_data,Is_there_prey_population_data,Control_site_or_spatial_variation,Confounders_or_alternatives,Sample_size_greater_than_1,Sample_size,BACI
Bettongia penicillata,Fox,CR,1,"Wayne, A.F., Maxwell, M.A., Ward, C.G., Wayne, J.C., Vellios, C.V. and Wilson, I.J., 2017. Recoveries and cascading declines of native mammals associated with control of an introduced predator. Journal of Mammalogy, 98(2), pp.489-501.",Wayne et al 2017 Journal of Mammalogy,High/Very High,,High/Very High,-34.37,116.28,Population,Temporal,0,yes,yes,no,no,no,1,no
Bettongia tropica,Cat,EN,1,,,,,High/Very High,,,,,,,,,,,,
Burramys parvus,Cat,CR,1,"Doherty, T.S., Davis, R.A., van Etten, E.J., Algar, D., Collier, N., Dickman, C.R., Edwards, G., Masters, P., Palmer, R. and Robinson, S., 2015. A continental‐scale analysis of feral cat diet in Australia. Journal of Biogeography, 42(5), pp.964-975.",Doherty et al 2015 Journal of Biogeography,Very high,,Very high,,,Predation,Hunted,1,no,no,,,,,
Burramys parvus,Fox,CR,1,"Davis, N.E., Forsyth, D.M., Triggs, B., Pascoe, C., Benshemesh, J., Robley, A., Lawrence, J., Ritchie, E.G., Nimmo, D.G. and Lumsden, L.F., 2015. Interspecific and geographic variation in the diets of sympatric carnivores: dingoes/wild dogs and red foxes in south-eastern Australia. PloS One, 10(3), p.e0120975.",Davies et al 2015 PloS One,Very high,,Very high,-37.65,143.25,Predation,Diet,1,no,no,,,,,
Burramys parvus,Fox,CR,1,"Green, K. and Osborne, W.S., 1981. The diet of foxes, Vulpes vulpes (L.), in relation to abundance of prey above the winter snowline in New South Wales. Wildlife Research, 8(2), pp.349-360.",Green and Osborne 1981 Wildlife Research,Very high,,Very high,-36.5,148.266,Predation,Diet,1,no,no,,,,,
Burramys parvus,Fox,CR,1,"Green, K., 2003. Altitudinal and temporal differences in the food of foxes (Vulpes vulpes) at alpine and subalpine altitudes in the Snowy Mountains. Wildlife Research, 30(3), pp.245-253.",Green 2003 Wildlife Research,Very high,,Very high,-36.3,148.15,Predation,Diet,1,no,no,,,,,
Conilurus penicillatus,Cat,VU,1,"Davies, H.F., McCarthy, M.A., Firth, R.S., Woinarski, J.C., Gillespie, G.R., Andersen, A.N., Geyle, H.M., Nicholson, E. and Murphy, B.P., 2017. Top‐down control of species distributions: feral cats driving the regional extinction of a threatened rodent in northern Australia. Diversity and Distributions, 23(3), pp.272-283.",Davies et al 2017 Diversity and Distributions,High/Very High,,High/Very High,-11.5,131.03,Population,Spatial,1,yes,yes,yes,yes,yes,88,no
Conilurus penicillatus,Cat,VU,1,"Davies, H.F., McCarthy, M.A., Firth, R.S., Woinarski, J.C., Gillespie, G.R., Andersen, A.N., Rioli, W., Puruntatameri, J., Roberts, W., Kerinaiua, C. and Kerinauia, V., 2018. Declining populations in one of the last refuges for threatened mammal species in northern Australia. Austral Ecology, 43(5), pp.602-612.",Davies et al 2018 Austral Ecology,High/Very High,,High/Very High,-11.5,131.03,Population,Spatial,1,yes,yes,yes,yes,yes,351,no
Conilurus penicillatus,Cat,VU,1,"Penton, C.E., Davies, H.F., Radford, I.J., Woolley, L.A., Rangers, T.L. and Murphy, B.P., 2021. A hollow argument: understory vegetation and disturbance determine abundance of hollow-dependent mammals in an Australian tropical savanna. Frontiers in Ecology and Evolution, 9, p.739550.",Penton et al 2021 Frontiers in Ecology and Evolution,High/Very High,,High/Very High,-11.5,131.03,Population,Spatial,1,yes,yes,yes,yes,yes,88,no
Conilurus penicillatus,Cat,VU,1,"Stobo-Wilson, A.M., Stokeld, D., Einoder, L.D., Davies, H.F., Fisher, A., Hill, B.M., Mahney, T., Murphy, B.P., Scroggie, M.P., Stevens, A. and Woinarski, J.C.Z., 2020. Bottom-up and top-down processes influence contemporary patterns of mammal species richness in Australia's monsoonal tropics. Biological Conservation, 247, p.108638.",Stobo-Wilson et al 2020 Biological Conservation,High/Very High,,High/Very High,-13.09,132.39,Population,Spatial,1,yes,yes,yes,yes,yes,312,no
Conilurus penicillatus,Cat,VU,1,"Neave, G., Murphy, B.P., Rangers, T., Andersen, A.N. and Davies, H.F., 2024. The intact and the imperilled: contrasting mammal population trajectories between two large adjacent islands. Wildlife Research, 51(8).",Neave et al 2024 Wildlife Research,High/Very High,,High/Very High,-11.5,131.03,Population,Spatial,1,yes,yes,yes,yes,no,,no
