Species,Predator,IUCN_Red_List_status,Accused_by_IUCN_Red_List,Reference,Reference_ID,Cat_EPBC_threat_rating,Fox_EPBC_threat_rating_if_no_cat,Threat_rating_standardized,Latitude,Longitude,evidence_cat,evidence_fine_scale,direction,Is_there_predator_population_data,Is_there_prey_population_data,Control_site_or_spatial_variation,Confounders_or_alternatives,Sample_size_greater_than_1,Sample_size,BACI
Onychogalea fraenata,Cat,VU,1,"Fisher, D., 1999. Behavioural ecology and demography of the bridled nailtail wallaby, Onychogalea fraenata. PhD Thesis, School of Biological Sciences, The University of Queensland.",Fisher 1999 Thesis University of Queensland,Very high,,Very high,-23.52,149.219,Predation,Hunted,1,no,no,,,,,
Onychogalea fraenata,Cat,VU,1,"Fisher, D.O., Blomberg, S.P. and Hoyle, S.D., 2001. Mechanisms of drought-induced population decline in an endangered wallaby. Biological Conservation, 102(1), pp.107-115.",Fisher et al 2001 Biological Conservation,Very high,,Very high,-23.52,149.219,Predation,Hunted,1,no,no,,,,,
Onychogalea fraenata,Cat,VU,1,"Horsup, A. and Evans, M., 1993. Predation by feral cats, Felis catus, on an endangered marsupial, the bridled nailtail wallaby, Onychogalea fraenata. Australian Mammalogy, 16(1), pp.83-84.",Horsup and Evans 1993 Australian Mammalogy,Very high,,Very high,,,Predation,Hunted,1,no,no,,,,,
Onychogalea fraenata,Cat,VU,1,"Augusteyn, J., McCarthy, M.A., Robley, A., Pople, A., Nolan, B., Hemson, G., Melzer, R., Richards, S. and Dinwoodie, A., 2022. Bringing back the endangered bridled nail-tailed wallaby at Taunton National Park (Scientific) through effective predator control. Wildlife Research, 49(4), pp.382-398.",Augusteyn et al 2022 Wildlife Research,Very high,,Very high,-23.52,149.219,Baiting,Baiting_temporal,0,no,yes,,,,,
Onychogalea fraenata,Cat,VU,1,"Augusteyn, J., McCarthy, M.A., Robley, A., Pople, A., Nolan, B., Hemson, G., Melzer, R., Richards, S. and Dinwoodie, A., 2022. Bringing back the endangered bridled nail-tailed wallaby at Taunton National Park (Scientific) through effective predator control. Wildlife Research, 49(4), pp.382-398.",Augusteyn et al 2022 Wildlife Research,Very high,,Very high,-23.52,149.219,Population,Temporal,0,yes,yes,no,no,no,1,no
Onychogalea fraenata,Fox,VU,1,"Hayward, M.W., L'Hotellier, F., O'Connor, T., Ward-Fear, G., Cathcart, J., Cathcart, T., Sephens, J., Stephens, J., Herman, K. and Legge, S., 2012, January. Reintroduction of bridled nailtail wallabies beyond fences at Scotia Sanctuary-Phase 1. In Proceedings of the Linnean Society of New South Wales (Vol. 134).",Hayward et al 2012 Proceedings of the Linnean Society of New South Wales,Very high,,Very high,-33.29,141.08,Predation,Hunted_reintroduced,1,no,no,,,,,
Ornithorhynchus anatinus,Cat,NT,1,,,,,N/A,,,,,,,,,,,,
Ornithorhynchus anatinus,Fox,NT,1,"Brown, G.W., 1990. Diets of wild canids and foxes in East Gippsland 1983–1987, using predator scat analysis. Australian Mammalogy, 13(2), pp.209-213.",Brown 1990 Australian Mammalogy,N/A,,N/A,-37.4976,148.189,Predation,Diet,1,no,no,,,,,
Ornithorhynchus anatinus,Fox,NT,1,"Davis, N.E., Forsyth, D.M., Triggs, B., Pascoe, C., Benshemesh, J., Robley, A., Lawrence, J., Ritchie, E.G., Nimmo, D.G. and Lumsden, L.F., 2015. Interspecific and geographic variation in the diets of sympatric carnivores: dingoes/wild dogs and red foxes in south-eastern Australia. PloS One, 10(3), p.e0120975.",Davies et al 2015 PloS One,N/A,,N/A,-36.98,143.39,Predation,Diet,1,no,no,,,,,
Ornithorhynchus anatinus,Fox,NT,1,"Green, K., 2003. Altitudinal and temporal differences in the food of foxes (Vulpes vulpes) at alpine and subalpine altitudes in the Snowy Mountains. Wildlife Research, 30(3), pp.245-253.",Green 2003 Wildlife Research,N/A,,N/A,-36.3,148.15,Predation,Diet,1,no,no,,,,,
Ornithorhynchus anatinus,Fox,NT,1,"Purcell, B.V., 2008. Order in the pack: ecology of Canis lupus dingo in the southern Greater Blue Mountains World Heritage Area. PhD Thesis, School of Natural Sciences, University of Western Sydney.",Purcell 2008 Thesis University of Western Sydney,N/A,,N/A,-33.43,150,Predation,Diet,1,no,no,,,,,
Parantechinus apicalis,Cat,EN,1,Friend T. 2003. Dibbler (Parantechinus apicalis) Recovery Plan July 2003–June 2013. Wildlife Management Program. Department of Conservation and Land Management Western Australian Threatened Species and Communities Unit,Friend 2003 Report Department of Conservation and Land Management,High,,High,,,Predation,Hunted,1,no,no,,,,,
Parantechinus apicalis,Fox,EN,1,Friend T. 2003. Dibbler (Parantechinus apicalis) Recovery Plan July 2003–June 2013. Wildlife Management Program. Department of Conservation and Land Management Western Australian Threatened Species and Communities Unit,Friend 2003 Report Department of Conservation and Land Management,High,,High,-33.889,119.8838,Predation,Hunted,1,no,no,,,,,
Parantechinus apicalis,Fox,EN,1,"Kinnear, J.E., Sumner, N.R. and Onus, M.L., 2002. The red fox in Australia—an exotic predator turned biocontrol agent. Biological Conservation, 108(3), pp.335-359.",Kinnear et al 2002 Biological Conservation,High,,High,-33.889,119.8838,Baiting,Baiting_temporal,1,no,yes,,,,,
Parantechinus apicalis,Fox,EN,1,Friend T. 2003. Dibbler (Parantechinus apicalis) Recovery Plan July 2003–June 2013. Wildlife Management Program. Department of Conservation and Land Management Western Australian Threatened Species and Communities Unit,Friend 2003 Report Department of Conservation and Land Management,High,,High,-31.95,115.86,Population,Timing,1,no,no,,,,,
Perameles bougainville,Cat,VU,1,"Richards, J.D. and Short, J., 2003. Reintroduction and establishment of the western barred bandicoot Perameles bougainville (Marsupialia: Peramelidae) at Shark Bay, Western Australia. Biological Conservation, 109(2), pp.181-195.",Richards and Short 2003 Biological Conservation,Moderate,,Moderate,-25.44,113.32,Predation,Hunted_reintroduced,0,no,no,,,,,
Perameles bougainville,Cat,VU,1,"Richards, J., 2012. Western barred bandicoot Perameles bougainville, burrowing bettong Bettongia lesueur and banded hare-wallaby Lagostrophus fasciatus National Recovery Plan. Wildlife Management Program, (49).",Richards 2012 Wildlife Management Program,Moderate,,Moderate,-25.44,113.32,Population,Exclusion,1,no,no,,,,,
Perameles bougainville,Cat,VU,1,"Richards, J.D. and Short, J., 2003. Reintroduction and establishment of the western barred bandicoot Perameles bougainville (Marsupialia: Peramelidae) at Shark Bay, Western Australia. Biological Conservation, 109(2), pp.181-195.",Richards and Short 2003 Biological Conservation,Moderate,,Moderate,-25.44,113.32,Population,Exclusion,1,yes,yes,no,yes,no,1,no
Perameles bougainville,Cat,VU,1,"Short, J., 2016. Predation by feral cats key to the failure of a long-term reintroduction of the western barred bandicoot (Perameles bougainville). Wildlife Research, 43(1), pp.38-50.",Short 2016 Wildlife Research,Moderate,,Moderate,-25.44,113.32,Population,Exclusion,1,yes,yes,no,yes,no,1,no
Perameles bougainville,Fox,VU,1,"Richards, J., 2012. Western barred bandicoot Perameles bougainville, burrowing bettong Bettongia lesueur and banded hare-wallaby Lagostrophus fasciatus National Recovery Plan. Wildlife Management Program, (49).",Richards 2012 Wildlife Management Program,Moderate,,Moderate,-25.44,113.32,Population,Exclusion,1,no,no,,,,,
Perameles bougainville,Fox,VU,1,"Richards, J.D. and Short, J., 2003. Reintroduction and establishment of the western barred bandicoot Perameles bougainville (Marsupialia: Peramelidae) at Shark Bay, Western Australia. Biological Conservation, 109(2), pp.181-195.",Richards and Short 2003 Biological Conservation,Moderate,,Moderate,-25.44,113.32,Population,Exclusion,1,yes,yes,no,yes,no,1,no
Perameles gunnii,Cat,VU,1,"Groenewegen, R., Harley, D., Hill, R. and Coulson, G., 2017. Assisted colonisation trial of the eastern barred bandicoot (Perameles gunnii) to a fox-free island. Wildlife Research, 44(7), pp.484-496.",Groenewegen et al 2017 Wildlife Research,Very high,,Very high,-38.34,145.33,Predation,Hunted_reintroduced,1,no,no,,,,,
Perameles gunnii,Cat,VU,1,"Winnard, A.L. and Coulson, G., 2008. Sixteen years of Eastern Barred Bandicoot Perameles gunnii reintroductions in Victoria: a review. Pacific Conservation Biology, 14(1), pp.34-53.",Winnard and Coulson 2008 Pacific Conservation Biology,Very high,,Very high,-37.65,143.25,Predation,Hunted_reintroduced,1,no,no,,,,,
Perameles gunnii,Cat,VU,1,"Dufty, A.C., 1994. Population demography of the eastern barred bandicoot (Perameles gunnii) at Hamilton, Victoria. Wildlife Research, 21(4), pp.445-457.",Dufty 1994 Wildlife Research,Very high,,Very high,-42.57,147.28,Predation,Hunted,1,no,no,,,,,
Perameles gunnii,Cat,VU,1,"Lenghaus, C., Obendorf, D.L. and Wright, F.H., 1990. Veterinary aspects of Perameles gunnii biology with special reference to species conservation. Management and Conservation of Small Populations. Chicago Zoological Society, Brookfield, Illinois, pp.89-108.",Lenghaus et al 1990 Management and Conservation of Small Populations,Very high,,Very high,-37.742,142.0217,Predation,Hunted,1,no,no,,,,,
Perameles gunnii,Cat,VU,1,"Schwarz, E., 1995. Habitat use in a population of mainland Tasmanian feral cats, Felis catus. Graduate Diploma Honours Thesis. University of Tasmania, Hobart.",Schwarz 1995 Thesis University of Tasmania,Very high,,Very high,-37.75,142.01,Predation,Hunted,1,no,no,,,,,
Perameles gunnii,Cat,VU,1,"Woolley, L.A., Geyle, H.M., Murphy, B.P., Legge, S.M., Palmer, R., Dickman, C.R., Augusteyn, J., Comer, S., Doherty, T.S., Eager, C. and Edwards, G., 2019. Introduced cats Felis catus eating a continental fauna: inventory and traits of Australian mammal species killed. Mammal Review, 49(4), pp.354-368.",Woolley et al 2019 Mammal Review,Very high,,Very high,,,Predation,Hunted,1,no,no,,,,,
Perameles gunnii,Fox,VU,1,"Lenghaus, C., Obendorf, D.L. and Wright, F.H., 1990. Veterinary aspects of Perameles gunnii biology with special reference to species conservation. Management and Conservation of Small Populations. Chicago Zoological Society, Brookfield, Illinois, pp.89-108.",Lenghaus et al 1990 Management and Conservation of Small Populations,Moderate,,Moderate,-37.742,142.0217,Predation,Hunted_reintroduced,1,no,no,,,,,
Perameles gunnii,Fox,VU,1,"Long, K., A. J. Robley, and K. Lovett. 2005. Immediate post-release survival of eastern barred bandicoots Perameles gunnii at Woodlands Historic Park, Victoria, with reference to fox activity. Australian Mammalogy 27.1: 17-25",Long et al 2005 Australian Mammalogy,Moderate,,Moderate,-37.63,144.85,Predation,Hunted_reintroduced,0,no,no,,,,,
Perameles gunnii,Fox,VU,1,"Winnard, A.L. and Coulson, G., 2008. Sixteen years of Eastern Barred Bandicoot Perameles gunnii reintroductions in Victoria: a review. Pacific Conservation Biology, 14(1), pp.34-53.",Winnard and Coulson 2008 Pacific Conservation Biology,Moderate,,Moderate,-37.65,143.25,Predation,Hunted_reintroduced,1,no,no,,,,,
Perameles gunnii,Fox,VU,1,"Cook, C.N., Morgan, D.G. and Marshall, D.J., 2010. Reevaluating suitable habitat for reintroductions: lessons learnt from the eastern barred bandicoot recovery program. Animal Conservation, 13(2), pp.184-195.",Cook et al 2010 Animal Conservation,Moderate,,Moderate,-37.65,143.25,Baiting,Baiting_spatial,1,no,yes,,,,,
Perameles gunnii,Fox,VU,1,"Cook, C.N., Morgan, D.G. and Marshall, D.J., 2010. Reevaluating suitable habitat for reintroductions: lessons learnt from the eastern barred bandicoot recovery program. Animal Conservation, 13(2), pp.184-195.",Cook et al 2010 Animal Conservation,Moderate,,Moderate,-37.65,143.25,Population,Spatial,0,yes,yes,yes,no,yes,140,no
Petrogale burbidgei,Cat,NT,1,,,,,High,,,,,,,,,,,,
Petrogale concinna,Cat,EN,1,,,,,High,,,,,,,,,,,,
Petrogale lateralis,Cat,VU,1,"Paltridge, R., Gibson, D. and Edwards, G., 1997. Diet of the feral cat (Felis catus) in central Australia. Wildlife Research, 24(1), pp.67-76.",Paltridge et al 1997 Wildlife Research,High,,High,-24.29,131.57,Predation,Diet,1,no,no,,,,,
Petrogale lateralis,Cat,VU,1,"Read, J.L., Dagg, E. and Moseby, K.E., 2018. Prey selectivity by feral cats at central Australian rock-wallaby colonies. Australian Mammalogy, 41(1), pp.132-141.",Read et al 2018 Australian Mammalogy,High,,High,-26.18,129.08,Predation,Diet,1,no,no,,,,,
Petrogale lateralis,Cat,VU,1,"Read, J.L., Dagg, E. and Moseby, K.E., 2018. Prey selectivity by feral cats at central Australian rock-wallaby colonies. Australian Mammalogy, 41(1), pp.132-141.",Read et al 2018 Australian Mammalogy,High,,High,-26.18,129.08,Predation,Preference,0,no,no,,,,,
Petrogale lateralis,Fox,VU,1,"Read, J.L., Dagg, E. and Moseby, K.E., 2018. Prey selectivity by feral cats at central Australian rock-wallaby colonies. Australian Mammalogy, 41(1), pp.132-141.",Read et al 2018 Australian Mammalogy,Extreme,,Extreme,-26.18,129.08,Predation,Diet,0,no,no,,,,,
Petrogale lateralis,Fox,VU,1,"Kinnear, J.E., Krebs, C.J., Pentland, C., Orell, P., Holme, C. and Karvinen, R., 2010. Predator-baiting experiments for the conservation of rock-wallabies in Western Australia: a 25-year review with recent advances. Wildlife Research, 37(1), pp.57-67.",Kinnear et al 2010 Wildlife Research,Extreme,,Extreme,-30.5,117.4,Baiting,Baiting_temporal,1,no,yes,,,,,
Petrogale lateralis,Fox,VU,1,"Kinnear, J.E., Pentland, C., Moore, N. and Krebs, C.J., 2016. Fox control and 1080 baiting conundrums: time to prepare for a CRISPR solution. Australian Mammalogy, 39(2), pp.127-136.",Kinnear et al 2016 Australian Mammlogy,Extreme,,Extreme,-30.5,117.4,Baiting,Baiting_temporal,0,no,yes,,,,,
Petrogale lateralis,Fox,VU,1,"Pearson D. 2013. Recovery plan for five species of rock wallabies: Black-footed rock wallaby (Petrogale lateralis), Rothschild rock wallaby (Petrogale rothschildi), Short-eared rock wallaby (Petrogale brachyotis), Monjon (Petrogale burbidgei) and Nabarlek (Petrogale concinna) 2012–2022. Department of Parks and Wildlife, Perth, WA.",Pearson 2013 Department of Parks and Wildlife,Extreme,,Extreme,-30.5,117.4,Baiting,Baiting_temporal,0,no,yes,,,,,
Petrogale lateralis,Fox,VU,1,"Kinnear, J.E., Onus, M.L. and Bromilow, R.N., 1988. Fox control and rock-wallaby population dynamics. Wildlife Research, 15(4), pp.435-450.",Kinnear et al 1988 Wildlife Research,Extreme,,Extreme,-30.5,117.4,Baiting,Baiting_spatial,1,no,yes,,,,,
Petrogale lateralis,Fox,VU,1,"Kinnear, J.E., Onus, M.L. and Sumner, N.R., 1998. Fox control and rock-wallaby population dynamics—II. An update. Wildlife Research, 25(1), pp.81-88.",Kinnear et al 1998 Wildlife Research,Extreme,,Extreme,-30.5,117.4,Baiting,Baiting_spatial,1,no,yes,,,,,
Petrogale penicillata,Cat,VU,0,"Doherty, T.S., Davis, R.A., van Etten, E.J., Algar, D., Collier, N., Dickman, C.R., Edwards, G., Masters, P., Palmer, R. and Robinson, S., 2015. A continental‐scale analysis of feral cat diet in Australia. Journal of Biogeography, 42(5), pp.964-975.",Doherty et al 2015 Journal of Biogeography,Minor,,Minor,,,Predation,Hunted_reintroduced,1,no,no,,,,,
Petrogale penicillata,Fox,VU,1,"Lunney, D., Law, B. and Rummery, C., 1996. Contrast between the visible abundance of the brush-tailed rock-wallaby, Petrogale penicillata, and its rarity in fox and dog scats in the gorges east of Armidale, New South Wales. Wildlife Research, 23(3), pp.373-379.",Lunney et al 1996 Wildlife Research,Very high,,Very high,-30.3,151.4,Predation,Diet,0,no,no,,,,,
Petrogale penicillata,Fox,VU,1,"Pascoe, J.H., Mulley, R.C., Spencer, R. and Chapple, R., 2012. Diet analysis of mammals, raptors and reptiles in a complex predator assemblage in the Blue Mountains, eastern Australia. Australian Journal of Zoology, 59(5), pp.295-301.",Pascoe et al 2012 Australian Journal of Zoology,Very high,,Very high,-33.375,150.5083333,Predation,Diet,1,no,no,,,,,
Petrogale penicillata,Fox,VU,1,"Sinclair, R., 2020. The diet of foxes in the Grampians (Gariwerd) National Park. Doctoral dissertation, Deakin University.",Sinclair 2020 Thesis Deakin University,Very high,,Very high,-37.21,142.398,Predation,Diet,1,no,no,,,,,
Petrogale penicillata,Fox,VU,1,"Lunney, D., Law, B. and Rummery, C., 1996. Contrast between the visible abundance of the brush-tailed rock-wallaby, Petrogale penicillata, and its rarity in fox and dog scats in the gorges east of Armidale, New South Wales. Wildlife Research, 23(3), pp.373-379.",Lunney et al 1996 Wildlife Research,Very high,,Very high,-30.3,151.4,Predation,Preference,0,no,no,,,,,
Petrogale sharmani,Cat,VU,1,,,,,Moderate,,,,,,,,,,,,
Petrogale xanthopus,Cat,NT,0,"Doherty, T.S., Davis, R.A., van Etten, E.J., Algar, D., Collier, N., Dickman, C.R., Edwards, G., Masters, P., Palmer, R. and Robinson, S., 2015. A continental‐scale analysis of feral cat diet in Australia. Journal of Biogeography, 42(5), pp.964-975.",Doherty et al 2015 Journal of Biogeography,High,,High,,,Predation,Diet,1,no,no,,,,,
Petrogale xanthopus,Cat,NT,0,"Lapidge, S.J. and Henshall, S., 2001. Diet of foxes and cats, with evidence of predation on yellow-footed rock-wallabies (Petrogale xanthopus Celeris) by foxes in southwsetern Queensland. Australian Mammalogy, 23(1), pp.47-52.",Lapidge 2001 Australian Mammalogy,High,,High,-25.2,145.24,Predation,Diet,0,no,no,,,,,
Petrogale xanthopus,Cat,NT,0,"Stobo-Wilson, A.M., Brandle, R., Johnson, C.N. and Jones, M.E., 2020. Management of invasive mesopredators in the Flinders Ranges, South Australia: effectiveness and implications. Wildlife Research, 47(8), pp.720-730.",Stobo-Wilson et al 2020 Wildlife Research,High,,High,-31.37,138.66,Population,Spatial,0,yes,yes,yes,no,yes,4,no
Petrogale xanthopus,Fox,NT,1,"Hornsby, P., 1997. Possible causes of mortality in the yellow-footed rock-wallaby, Petrogale xanthopus Gray (Marsupialia: Macropodidae). Australian Mammalogy, 19(2), pp.245-248.",Hornsby 1997 Australian Mammalogy,Extreme,,Extreme,-29.55,139.43,Predation,Diet,1,no,no,,,,,
Petrogale xanthopus,Fox,NT,1,"Lapidge, S.J. and Henshall, S., 2001. Diet of foxes and cats, with evidence of predation on yellow-footed rock-wallabies (Petrogale xanthopus Celeris) by foxes in southwsetern Queensland. Australian Mammalogy, 23(1), pp.47-52.",Lapidge 2001 Australian Mammalogy,Extreme,,Extreme,-25.2,145.24,Predation,Diet,1,no,no,,,,,
Petrogale xanthopus,Fox,NT,1,"Lethbridge, M.R. and Alexander, P.J., 2008. Comparing population growth rates using weighted bootstrapping: guiding the conservation management of Petrogale xanthopus xanthopus (yellow-footed rock-wallaby). Biological Conservation, 141(5), pp.1185-1195.",Lethbridge and Alexander 2008 Biological Conservation,Extreme,,Extreme,-31.42,138.75,Baiting,Baiting_spatial,1,no,yes,,,,,
Petrogale xanthopus,Fox,NT,1,"Sharp, A., Norton, M., Havelberg, C., Cliff, W. and Marks, A., 2015. Population recovery of the yellow-footed rock-wallaby following fox control in New South Wales and South Australia. Wildlife Research, 41(7), pp.560-570.",Sharp et al 2015 Wildlife Research,Extreme,,Extreme,-31.14,142.19,Baiting,Baiting_spatial,1,no,yes,,,,,
Petrogale xanthopus,Fox,NT,1,"Sharp, A., Norton, M., Havelberg, C., Cliff, W. and Marks, A., 2015. Population recovery of the yellow-footed rock-wallaby following fox control in New South Wales and South Australia. Wildlife Research, 41(7), pp.560-570.",Sharp et al 2015 Wildlife Research,Extreme,,Extreme,-32.46,138.04,Baiting,Baiting_spatial,1,no,yes,,,,,
Petrogale xanthopus,Fox,NT,1,"Stobo-Wilson, A.M., Brandle, R., Johnson, C.N. and Jones, M.E., 2020. Management of invasive mesopredators in the Flinders Ranges, South Australia: effectiveness and implications. Wildlife Research, 47(8), pp.720-730.",Stobo-Wilson et al 2020 Wildlife Research,Extreme,,Extreme,-31.37,138.66,Population,Spatial,1,yes,yes,yes,no,yes,4,no
Phascogale calura,Cat,NT,1,"Short, J. and Hide, A., 2011. Distribution and status of the red-tailed phascogale (Phascogale calura). Australian Mammalogy, 34(1), pp.88-99.",Short and Hide 2011 Australian Mammalogy,Very high,,Very high,-32.47,116.87,Predation,Hunted,1,no,no,,,,,
Phascogale calura,Fox,NT,1,"Friend, J. and Scanlon, M., 1996. Assessment of the Effect of Fox Control on Populations of the Red-tailed Phascogale. Phase 4: Final Report: ANCA Feral Pests Program Project 18. Department of Conservation & Land Management.",Friend and Scanlon 1996 Department of Conservation and Land Management,Not assessed,,N/A,-32.47,116.87,Baiting,Baiting_temporal,1,no,yes,,,,,
Phascogale pirata,Cat,VU,1,"Woinarski, J.C.Z., Ward, S., Mahney, T., Bradley, J., Brennan, K., Ziembicki, M. and Fisher, A., 2011. The mammal fauna of the Sir Edward Pellew island group, Northern Territory, Australia: refuge and death-trap. Wildlife Research, 38(4), pp.307-322.",Woinarski et al 2011 Wildlife Research,,,High,-15.6988,136.9999,Population,Timing,1,yes,no,,,,,
Phascogale pirata,Cat,VU,1,"Woinarski, J.C.Z., Ward, S., Mahney, T., Bradley, J., Brennan, K., Ziembicki, M. and Fisher, A., 2011. The mammal fauna of the Sir Edward Pellew island group, Northern Territory, Australia: refuge and death-trap. Wildlife Research, 38(4), pp.307-322.",Woinarski et al 2011 Wildlife Research,,,High,-15.6988,136.9999,Population,Spatial,0,yes,yes,yes,yes,yes,10,no
Phascogale tapoatafa,Cat,NT,1,"Soderquist, T.R. and Serena, M., 1994. An experimental reintroduction programme for brush-tailed phascogales (Phascogale tapoatafa): the interface between captivity and the wild. In Creative Conservation: Interactive Management of Wild and Captive Animals (pp. 431-438). Dordrecht: Springer Netherlands.",Soderquist and Serena 1994 Creative Conservation: Interactive Management of Wild and Captive Animals,High,,High,-37.58,147.46,Predation,Hunted_reintroduced,1,no,no,,,,,
Phascogale tapoatafa,Cat,NT,1,"Wayne, A.F., Maxwell, M.A., Ward, C.G., Wayne, J.C., Vellios, C.V. and Wilson, I.J., 2017. Recoveries and cascading declines of native mammals associated with control of an introduced predator. Journal of Mammalogy, 98(2), pp.489-501.",Wayne et al 2017 Journal of Mammalogy,High,,High,-34.37,116.28,Population,Temporal,0,yes,yes,no,no,no,1,no
Phascogale tapoatafa,Fox,NT,1,"Pascoe, J.H., Mulley, R.C., Spencer, R. and Chapple, R., 2012. Diet analysis of mammals, raptors and reptiles in a complex predator assemblage in the Blue Mountains, eastern Australia. Australian Journal of Zoology, 59(5), pp.295-301.",Pascoe et al 2012 Australian Journal of Zoology,N/A,,N/A,-33.375,150.5083333,Predation,Diet,1,no,no,,,,,
Phascogale tapoatafa,Fox,NT,1,"Wayne, A.F., Maxwell, M.A., Ward, C.G., Wayne, J.C., Vellios, C.V. and Wilson, I.J., 2017. Recoveries and cascading declines of native mammals associated with control of an introduced predator. Journal of Mammalogy, 98(2), pp.489-501.",Wayne et al 2017 Journal of Mammalogy,N/A,,N/A,-34.37,116.28,Population,Temporal,0,yes,yes,no,no,no,1,no
Phoniscus papuensis,Cat,VU,1,,,,,N/A,,,,,,,,,,,,
Potorous gilbertii,Cat,CR,1,,,,,High/Very High,,,,,,,,,,,,
Potorous gilbertii,Fox,CR,1,,,,,High/Very High,,,,,,,,,,,,
Potorous longipes,Cat,VU,0,"Robley, A.J., Cally, J.G., Murray, A., Bluff, L., Collyer, A., Borg, N. and Phillips, L., 2022. The response of native species to the 2019–20 bushfires and introduced predators in far East Gippsland. Arthur Rylah Institute for Environmental Research Technical Report Series No. 329. Department of Environment. Land, Water and Planning, Heidelberg.","Robley et al 2022 Department of Environment, Land, Water and Planning",High,,High,-36.98,143.39,Population,Spatial,0,yes,yes,yes,yes,yes,240,no
Potorous longipes,Fox,VU,1,"Davis, N.E., Forsyth, D.M., Triggs, B., Pascoe, C., Benshemesh, J., Robley, A., Lawrence, J., Ritchie, E.G., Nimmo, D.G. and Lumsden, L.F., 2015. Interspecific and geographic variation in the diets of sympatric carnivores: dingoes/wild dogs and red foxes in south-eastern Australia. PloS One, 10(3), p.e0120975.",Davies et al 2015 PloS One,Very high,,Very high,-36.98,143.39,Predation,Diet,1,no,no,,,,,
Potorous longipes,Fox,VU,1,"Robley, A.J., Cally, J.G., Murray, A., Bluff, L., Collyer, A., Borg, N. and Phillips, L., 2022. The response of native species to the 2019–20 bushfires and introduced predators in far East Gippsland. Arthur Rylah Institute for Environmental Research Technical Report Series No. 329. Department of Environment. Land, Water and Planning, Heidelberg.","Robley et al 2022 Department of Environment, Land, Water and Planning",Very high,,Very high,-36.98,143.39,Population,Spatial,1,yes,yes,yes,yes,yes,240,no
Potorous tridactylus,Cat,NT,1,"Lazenby, B.T., 2012. Do feral cats affect small mammals? A case study from the forests of southern Tasmania. PhD thesis, University of Sydney, Sydney.",Lazenby 2012 Thesis University of Sydney,High,,High,-42.8,146.94,Predation,Diet,1,no,no,,,,,
Potorous tridactylus,Cat,NT,1,"Schwarz, E., 1995. Habitat use in a population of mainland Tasmanian feral cats, Felis catus. Graduate Diploma Honours Thesis. University of Tasmania, Hobart.",Schwarz 1995 Thesis University of Tasmania,High,,High,-37.75,142.01,Predation,Diet,1,no,no,,,,,
Potorous tridactylus,Cat,NT,1,"Miritis, V., Rendall, A.R., Doherty, T.S., Coetsee, A.L. and Ritchie, E.G., 2020. Living with the enemy: a threatened prey species coexisting with feral cats on a fox-free island. Wildlife Research, 47(8), pp.633-642.",Miritis et al 2020 Wildlife Research,High,,High,-38.398,145.378,Predation,Hunted,1,no,no,,,,,
Potorous tridactylus,Cat,NT,1,"Miritis, V., Rendall, A.R., Doherty, T.S., Coetsee, A.L. and Ritchie, E.G., 2020. Living with the enemy: a threatened prey species coexisting with feral cats on a fox-free island. Wildlife Research, 47(8), pp.633-642.",Miritis et al 2020 Wildlife Research,High,,High,-38.398,145.378,Population,Temporal,0,yes,yes,yes,yes,yes,31,no
Potorous tridactylus,Cat,NT,1,"Miritis, V., Rendall, A.R., Doherty, T.S., Coetsee, A.L. and Ritchie, E.G., 2020. Living with the enemy: a threatened prey species coexisting with feral cats on a fox-free island. Wildlife Research, 47(8), pp.633-642.",Miritis et al 2020 Wildlife Research,High,,High,-38.398,145.378,Population,Spatial,0,yes,yes,yes,yes,yes,31,no
Potorous tridactylus,Cat,NT,1,"Norton, M.A., Prentice, A., Dingle, J., French, K. and Claridge, A.W., 2015. Population characteristics and management of the long-nosed potoroo (Potorous tridactylus) in high-quality habitat in the Southern Highlands of New South Wales. Australian Mammalogy, 37(1), pp.67-74.",Norton et al 2015 Australian Mammalogy,High,,High,-34.67,150.7,Population,Spatial,0,yes,yes,yes,no,yes,2,no
Potorous tridactylus,Cat,NT,1,"Robley, A.J., Cally, J.G., Murray, A., Bluff, L., Collyer, A., Borg, N. and Phillips, L., 2022. The response of native species to the 2019–20 bushfires and introduced predators in far East Gippsland. Arthur Rylah Institute for Environmental Research Technical Report Series No. 329. Department of Environment. Land, Water and Planning, Heidelberg.","Robley et al 2022 Department of Environment, Land, Water and Planning",High,,High,-36.98,143.39,Population,Spatial,0,yes,yes,yes,yes,yes,240,no
Potorous tridactylus,Cat,NT,1,"Rees, M.W., Wintle, B.A., Robley, A., Pascoe, J.H., Pla, M.L., Birnbaum, E.K. and Hradsky, B.A., 2024. Fox control and fire influence the occurrence of invasive predators and threatened native prey. Biological Invasions, 26(3), pp.685-703.",Rees et al 2024 Biological Invasions,High,,High,-38.7912,143.5419,Population,Spatial,0,yes,yes,yes,yes,yes,13,no
Potorous tridactylus,Fox,NT,1,"Rees, M.W., Wintle, B.A., Robley, A., Pascoe, J.H., Pla, M.L., Birnbaum, E.K. and Hradsky, B.A., 2024. Fox control and fire influence the occurrence of invasive predators and threatened native prey. Biological Invasions, 26(3), pp.685-703.",Rees et al 2024 Biological Invasions,Very high,,Very high,-38.7912,143.5419,Population,Spatial,1,yes,yes,yes,yes,yes,13,no
