Study_ID,Reference,Prey_Species,Study_site,Lat,Long,Predator_Species,Correlation,Site,Site_note,Time,Time_note,Predator,Prey,Predator_Units,Prey_Units,Data_source,Inclusion_problem,Comments
ES_8,"Augusteyn, J., McCarthy, M.A., Robley, A., Pople, A., Nolan, B., Hemson, G., Melzer, R., Richards, S. and Dinwoodie, A., 2022. Bringing back the endangered bridled nail-tailed wallaby at Taunton National Park (Scientific) through effective predator control. Wildlife Research, 49(4), pp.382-398.",Onychogalea fraenata,Taunton National Park,-23.521,149.219,Cat,Temporal,,,2014,,2.345166667,0.382765,Camera traps,"Trapping-young, percent <3.5kg",Figure 3B,,"Averaged to year, predator and prey"
ES_8,"Augusteyn, J., McCarthy, M.A., Robley, A., Pople, A., Nolan, B., Hemson, G., Melzer, R., Richards, S. and Dinwoodie, A., 2022. Bringing back the endangered bridled nail-tailed wallaby at Taunton National Park (Scientific) through effective predator control. Wildlife Research, 49(4), pp.382-398.",Onychogalea fraenata,Taunton National Park,-23.521,149.219,Cat,Temporal,,,2015,,1.609,0.43504,Camera traps,"Trapping-young, percent <3.5kg",Figure 3B,,Averaged to year
ES_9,"Moseby, K., Hodgens, P., Bannister, H., Mooney, P., Brandle, R., Lynch, C., Young, C., Jansen, J. and Jensen, M., 2021. The ecological costs and benefits of a feral cat poison‐baiting programme for protection of reintroduced populations of the western quoll and brushtail possum. Austral Ecology, 46(8), pp.1366-1382.",Dasyurus geoffroii,Flinders Ranges National Park,-31.37,138.59,Cat,Temporal,,,1,,0.304,0.545,Camera trapping,Camera trapping,"Fig 6 A,B",,
ES_9,"Moseby, K., Hodgens, P., Bannister, H., Mooney, P., Brandle, R., Lynch, C., Young, C., Jansen, J. and Jensen, M., 2021. The ecological costs and benefits of a feral cat poison‐baiting programme for protection of reintroduced populations of the western quoll and brushtail possum. Austral Ecology, 46(8), pp.1366-1382.",Dasyurus geoffroii,Flinders Ranges National Park,-31.37,138.59,Cat,Temporal,,,2,,0.807,0.436,Camera trapping,Camera trapping,"Fig 6 A,B",,
ES_9,"Moseby, K., Hodgens, P., Bannister, H., Mooney, P., Brandle, R., Lynch, C., Young, C., Jansen, J. and Jensen, M., 2021. The ecological costs and benefits of a feral cat poison‐baiting programme for protection of reintroduced populations of the western quoll and brushtail possum. Austral Ecology, 46(8), pp.1366-1382.",Dasyurus geoffroii,Flinders Ranges National Park,-31.37,138.59,Cat,Temporal,,,3,,1.207,0.669,Camera trapping,Camera trapping,"Fig 6 A,B",,
ES_9,"Moseby, K., Hodgens, P., Bannister, H., Mooney, P., Brandle, R., Lynch, C., Young, C., Jansen, J. and Jensen, M., 2021. The ecological costs and benefits of a feral cat poison‐baiting programme for protection of reintroduced populations of the western quoll and brushtail possum. Austral Ecology, 46(8), pp.1366-1382.",Dasyurus geoffroii,Flinders Ranges National Park,-31.37,138.59,Cat,Temporal,,,4,,1.034,0.636,Camera trapping,Camera trapping,"Fig 6 A,B",,
ES_9,"Moseby, K., Hodgens, P., Bannister, H., Mooney, P., Brandle, R., Lynch, C., Young, C., Jansen, J. and Jensen, M., 2021. The ecological costs and benefits of a feral cat poison‐baiting programme for protection of reintroduced populations of the western quoll and brushtail possum. Austral Ecology, 46(8), pp.1366-1382.",Dasyurus geoffroii,Flinders Ranges National Park,-31.37,138.59,Cat,Temporal,,,5,,1.705,0.544,Camera trapping,Camera trapping,"Fig 6 A,B",,
ES_9,"Moseby, K., Hodgens, P., Bannister, H., Mooney, P., Brandle, R., Lynch, C., Young, C., Jansen, J. and Jensen, M., 2021. The ecological costs and benefits of a feral cat poison‐baiting programme for protection of reintroduced populations of the western quoll and brushtail possum. Austral Ecology, 46(8), pp.1366-1382.",Dasyurus geoffroii,Flinders Ranges National Park,-31.37,138.59,Cat,Temporal,,,6,,1.57,0.436,Camera trapping,Camera trapping,"Fig 6 A,B",,
ES_9,"Moseby, K., Hodgens, P., Bannister, H., Mooney, P., Brandle, R., Lynch, C., Young, C., Jansen, J. and Jensen, M., 2021. The ecological costs and benefits of a feral cat poison‐baiting programme for protection of reintroduced populations of the western quoll and brushtail possum. Austral Ecology, 46(8), pp.1366-1382.",Dasyurus geoffroii,Flinders Ranges National Park,-31.37,138.59,Cat,Temporal,,,7,,1.305,0.539,Camera trapping,Camera trapping,"Fig 6 A,B",,
ES_9,"Moseby, K., Hodgens, P., Bannister, H., Mooney, P., Brandle, R., Lynch, C., Young, C., Jansen, J. and Jensen, M., 2021. The ecological costs and benefits of a feral cat poison‐baiting programme for protection of reintroduced populations of the western quoll and brushtail possum. Austral Ecology, 46(8), pp.1366-1382.",Dasyurus geoffroii,Flinders Ranges National Park,-31.37,138.59,Cat,Temporal,,,8,,0.704,0.701,Camera trapping,Camera trapping,"Fig 6 A,B",,
